Key,分诊主类,子类,类别说明,根因/处置,摘要,功能模块,频次,严重度,状态,报告人,创建,更新,复现步骤全文,最新注释,评论数,全部评论,链接
DNA-2375,A,A,推理·该调工具未调(假成功),收藏 未调用车控,【语音】【语音控制多媒体】蓝牙音乐在播放中，语音指令：“收藏”TTS回复错误,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-26,2026-07-01,"步骤描述：当前蓝牙音乐在播放，语音指令：”收藏“
期望结果：提示无此功能
实际结果：TTS回复当前无在播的内容
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0626 11：22","2026062611215930172067EE869F9B69AB
director 未调用车控工具
[图]",1,"Tian Gaolin 田高琳（2026-07-01）：2026062611215930172067EE869F9B69AB
director 未调用车控工具
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2375
DNA-2373,A,A,推理·该调工具未调(假成功),添加收藏 未调用车控,【语音】【语音控制多媒体】当前喜马拉雅在播放，语音指令：“添加收藏”，TTS回复当前无播放的内容,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-26,2026-07-01,"步骤描述：当前喜马拉雅在播放，语音指令：”添加收藏“
期望结果：添加当前播放的界面
实际结果：TTS回复当前无在播的内容
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0626 11：18","[图]

 

director 未调用车控工具

202606261118052B705CA988F56FAF35E8
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：[图]

 

director 未调用车控工具

202606261118052B705CA988F56FAF35E8
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2373
DNA-2359,A,A,推理·该调工具未调(假成功),打给张三 未下发fc误报没找到,【基础应用】【蓝牙电话】联系人存在张三，语音输入：打电话给张三，回复的是抱歉没有找到联系人张三,语音控制,必现,B,DRAFT,Zhang Hua 张华,2026-06-26,2026-07-08,"步骤描述：
联系人中存在张三
主驾语音输入：打电话给张三
期望结果：好的正在为您呼叫张三
实际结果：回复的是抱歉没有找到联系人张三
版本：IS4PDU5005G06201
问题发生时间：23/六月/25 18 :34","[~pwhcoy] 
2026062518334004FA075D7D7C716D1F4C没有下发fc",1,"Yang Zhongyu 杨忠谕（2026-07-04）：[~pwhcoy] 
2026062518334004FA075D7D7C716D1F4C没有下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-2359
DNA-2355,A,A,推理·该调工具未调(假成功),调高音质 未调用车控,【语音】【语音控制多媒体】酷我音乐在播放，语音指令：”调高音质”，TTS回复无法调节,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-26,2026-07-01,"步骤描述：当前酷我音乐在前台，语音指令：”调高音质“
期望结果：调高对应音质
实际结果：TTS回复无法调节
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0625 15：52","[图]

director 未调用车控工具
202606251553025D2F30B96E337D857D4D
[~pwhcoy]",1,"Tian Gaolin 田高琳（2026-07-01）：[图]

director 未调用车控工具
202606251553025D2F30B96E337D857D4D
[~pwhcoy]",http://jira.z-onesoftware.com:8080/browse/DNA-2355
DNA-2354,A,A,推理·该调工具未调(假成功),冰箱调温 未调用车控,【车控车设】【冰箱】【5.0.6】冰箱制热模式，语音调节温度，豆包回复已调节，但实际未调节,语音控制,必现,B,ANALYZING,Zhang Sen 张森,2026-06-26,2026-07-13,"【前提条件】
电源模式: RUN
1.冰箱开启，制热模式
【操作步骤】
唤醒语音调节冰箱温度
【期望结果】
可以调节温度
【实际结果】
无法调节温度
【发生时间】
2026年6月25日19：22","[~pwhcoy] 泽民辛苦看一下没有调用车控工具
[图]",10,"Yang Zhongyu 杨忠谕（2026-06-26）：[~v-yuzhaozhi.hkwj] 202606251922358C429790354207D72990

20260625192249397F4BE25238E327AFEB

这里两个也帮忙看下
---
Xie Junjun 谢军军（2026-06-26）：20260625192249397F4BE25238E327AFEB 改写的query是 车载冰箱温度设置为40度，开启制热模式下发的fc是
[\{\""user_query\"":\""\"",\""sound_zone\"":\""主驾\"",\""is_simple_vehicle_control\"":false,\""functions\"":[{\""function_code\"":\""冰箱开关\"",\""params\"":[{\""action\"":\""打开\"",\""mode\"":\""制热\""}]}],\""vehicle_control_exec_status\"":[\{\""function_code\"":\""冰箱开关\"",\""status\"":1,\""msg\"":\""已经是当前状态，无需操作\"",\""tts_content\"":\""现在已经是制热模式了\"",\""capture_details\"":nu
---
Yang Zhongyu 杨忠谕（2026-06-26）：东楠，这个是fc下发错误问题，麻烦看下
---
Zhang Dongnan 张东楠（2026-06-29）：sft模型问题
---
Zhang Sen 张森（2026-07-06）：[~bcejgr] 张工，请修改至verifing状态在流转会测试
---
Zhang Dongnan 张东楠（2026-07-06）：[图]
---
Zhang Sen 张森（2026-07-09）：实车：0927

版本：IS4PDU6001G07081

MCU：IS4P600103

验证失败
---
Zhang Dongnan 张东楠（2026-07-10）：[~lpmujs] 验证失败有logid吗
---
Zhang Sen 张森（2026-07-10）：log里面都有[^2354.zip]
---
Zhang Dongnan 张东楠（2026-07-10）：[~pwhcoy] 泽民辛苦看一下没有调用车控工具
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2354
DNA-2350,A,A,推理·该调工具未调(假成功),冰箱调极值 未调用车控,【车控车设】【冰箱】【5.0.6】冰箱温度无法调到极值,语音控制,必现,B,DRAFT,Zhang Sen 张森,2026-06-26,2026-07-13,"【前提条件】
电源模式: RUN
1.冰箱开启
【操作步骤】
唤醒语音调节冰箱温度至最低
【期望结果】
可以调到最低
【实际结果】
无法调到最低
【发生时间】
2026年6月25日19：01","202606251901110856EEEAEC250F5599F0 这个是director 没有调用车控工具导致
[图]",2,"Yang Zhongyu 杨忠谕（2026-06-26）：202606251901110856EEEAEC250F5599F0

[~v-yuzhaozhi.hkwj] 昭志这个也帮忙流转下，没有下发fc
---
Xie Junjun 谢军军（2026-06-26）：202606251901110856EEEAEC250F5599F0 这个是director 没有调用车控工具导致
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2350
DNA-2347,A,A,推理·该调工具未调(假成功),关闭多模交互 未调用车控,【IS4PR】【视觉感知】【OMS】语音输入：关闭多模交互 回复：真的不是我不听话....... 实际未关闭快捷手势开关,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-25,2026-07-03,"步骤描述：语音输入：关闭多模交互
期望结果：关闭快捷手势开关
实际结果：语音输入：关闭多模交互 回复：真的不是我不听话....... 实际未关闭快捷手势开关
版本：IS4PDU5005G06201
问题发生时间：2026-06/25-14：08
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",20260625140845AF722801AF4F260E29FE [~pwhcoy] 泽民，没有调用车控工具。,1,Yang Zhongyu 杨忠谕（2026-07-03）：20260625140845AF722801AF4F260E29FE [~pwhcoy] 泽民，没有调用车控工具。,http://jira.z-onesoftware.com:8080/browse/DNA-2347
DNA-2346,A,A,推理·该调工具未调(假成功),关手势控制 未下发fc,【IS4PR】【视觉感知】【OMS】手动打开手势操作开关，语音输入：关掉手势控制 回复：真的已经关掉了....... 实际未关闭快捷手势开关,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-25,2026-07-03,"步骤描述：手动打开手势操作开关，语音输入：关掉手势控制 
期望结果：关闭快捷手势开关
实际结果：手动打开手势操作开关，语音输入：关掉手势控制 回复：真的已经关掉了....... 实际未关闭快捷手势开关
版本：IS4PDU5005G06201
问题发生时间：2026-06/25-14：06
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级","[~pwhcoy] 泽民，辛苦看下
2026062514065834663875CFF806147FCC这个也没有下发fc",1,"Yang Zhongyu 杨忠谕（2026-07-03）：[~pwhcoy] 泽民，辛苦看下
2026062514065834663875CFF806147FCC这个也没有下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-2346
DNA-2345,A,A,推理·该调工具未调(假成功),查看播放列表 未调用车控,【语音】【语音控制多媒体】QQ音乐在播放，语音指令：“查看播放列表：，TTS回复播放列表已打开，实际未打开,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-25,2026-07-01,"步骤描述：QQ音乐在播放中，语音指令：“查看播放列表“
期望结果：打开播放列表
实际结果：TTS回复错误
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0625 15：29","202606251529030151EDA7E60F63082304
director 未调用车控工具 [~pwhcoy] 
[图]",1,"Tian Gaolin 田高琳（2026-07-01）：202606251529030151EDA7E60F63082304
director 未调用车控工具 [~pwhcoy] 
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2345
DNA-2344,A,A,推理·该调工具未调(假成功),设置快捷手势 未调用车控,【IS4PR】【视觉感知】【OMS】语音输入：帮我设置快捷手势 回复：我已经帮你打开快捷手势设置页面....... 实际未打开快捷手势/跳转设置页,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-25,2026-07-03,"步骤描述：语音输入：帮我设置快捷手势 
期望结果：打开快捷手势/跳转设置页
实际结果：语音输入：帮我设置快捷手势 回复：我已经帮你打开快捷手势设置页面....... 实际未打开快捷手势/跳转设置页
版本：IS4PDU5005G06201
问题发生时间：2026-06/25-14：02
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级","[~pwhcoy] 泽民，
202606251402349DE6E6E3EC6326ECD912没有调用车控工具。",1,"Yang Zhongyu 杨忠谕（2026-07-03）：[~pwhcoy] 泽民，
202606251402349DE6E6E3EC6326ECD912没有调用车控工具。",http://jira.z-onesoftware.com:8080/browse/DNA-2344
DNA-2343,A,A,推理·该调工具未调(假成功),播放蓝牙音乐 未调用车控回复错,【语音】【语音控制多媒体】QQ音乐在播放，语音指令：“播放蓝牙音乐”，TTS回复当前播放的是蓝牙音乐,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-25,2026-07-01,"步骤描述：QQ音乐在播放中，语音指令：“播放蓝牙音乐”
期望结果：当前蓝牙未连接提示连接蓝牙
实际结果：TTS回复错误
版本：IS4PDU5006G06251
MCU：IS4P500600
问题发生时间：0625 15：18","20260625151848746BD6C636473977F02C
director 未调用车控工具 [~pwhcoy] 
[图]",1,"Tian Gaolin 田高琳（2026-07-01）：20260625151848746BD6C636473977F02C
director 未调用车控工具 [~pwhcoy] 
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2343
DNA-2341,A,A,推理·该调工具未调(假成功),打开多模交互 未调用车控,【IS4PR】【视觉感知】【OMS】语音输入：打开多模交互 回复：真的很抱歉....... 实际未打开,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-25,2026-07-03,"步骤描述：语音输入：打开多模交互
期望结果：系统识别为快捷手势操作，打开开关，播报确认 
实际结果：手动关闭手势控制后，语音输入：打开手势控制 回复：真的很抱歉...... 实际未打开快捷手势操作
版本：IS4PDU5005G06201
问题发生时间：2026-06/25-14：00
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",[~sbslqn] 没有fc下发可以直接给[~pwhcoy] 排查。泽民，辛苦看一下，没有调用车控工具的,2,"Yang Zhongyu 杨忠谕（2026-07-03）：2026062514005191652C33F399EA8C049A [~bcejgr] 东楠，麻烦看下这个问题，没有下发fc，应下发
手势识别开关
---
Zhang Dongnan 张东楠（2026-07-03）：[~sbslqn] 没有fc下发可以直接给[~pwhcoy] 排查。泽民，辛苦看一下，没有调用车控工具的",http://jira.z-onesoftware.com:8080/browse/DNA-2341
DNA-2340,A,A,推理·该调工具未调(假成功),打开手势控制 未调用车控直接回复,【IS4PR】【视觉感知】【OMS】手动关闭手势控制后，语音输入：打开手势控制 回复：手势控制已经打开了...... 实际未打开,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-25,2026-06-29,"步骤描述：手动关闭手势控制后，语音输入：打开手势控制 
期望结果：打开手势控制 
实际结果：手动关闭手势控制后，语音输入：打开手势控制 回复：手势控制已经打开了...... 实际未打开
版本：IS4PDU5005G06201
问题发生时间：2026-06/25-13：57
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",director 未调用车控工具直接回复了 [~pwhcoy] 辛苦看一下,2,"Yang Zhongyu 杨忠谕（2026-06-29）：[~lsrakw] 昭志，麻烦看看这个转给谁第一次询问下发了fc,手动关闭了，后续再打开就会回复已经打开了：
2026062513574364EB2864C5C0355A95D7
---
Yu Zhaozhi 俞昭志（2026-06-29）：director 未调用车控工具直接回复了 [~pwhcoy] 辛苦看一下",http://jira.z-onesoftware.com:8080/browse/DNA-2340
DNA-2336,A,A,推理·该调工具未调(假成功),关闭歌词 未调用车控,【语音】【语音控制多媒体】当前网易云未播放，语音指令：”关闭歌词”，TTS回复错误,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-25,2026-07-02,"步骤描述：当前网易云未播放，语音指令：”关闭歌词“
期望结果：TTS回复当前未播放歌曲
实际结果：TTS回复歌词已经关闭了
版本：IS4PDU5006G06251
问题发生时间：0625 10：51","20260625105112D430BD36F37C395B313C
director 未调用车控工具",1,"Tian Gaolin 田高琳（2026-07-02）：20260625105112D430BD36F37C395B313C
director 未调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-2336
DNA-2334,A,A,推理·该调工具未调(假成功),关闭歌词 未调用车控,【语音】【语音控制多媒体】当前网易云在播放，语音指令：”关闭歌词“，TTS回复歌词已经关闭,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-25,2026-07-03,"步骤描述：当前网易云全屏界面在播放，语音指令：”关闭歌词“
期望结果：关闭歌词界面
实际结果：TTS回复歌词已经关闭了，实际未关闭
版本：IS4PDU5006G06251
问题发生时间：0625 10：48","2026062510483683C3CF704DE341E0B5FF


已分析


director 未调用车控工具",1,"Tian Gaolin 田高琳（2026-07-03）：2026062510483683C3CF704DE341E0B5FF


已分析


director 未调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-2334
DNA-2309,A,A,推理·该调工具未调(假成功),通话音量静音 未调用车控,【语音】【语音控制声音】语音输入“通话音量关闭静音”，回复“通话音量调节功能出了些小故障，我无法帮你调整通话音量”,语音控制,必现,B,ANALYZING,顾安众-和光,2026-06-25,2026-07-08,"一、前提条件：

车机上电

语音激活状态

二、操作步骤

语音输入“通话音量关闭静音”，

三、期望结果：

回复“通话音量不在静音中哦。试试跟我说调高通话音量”

四、实际结果：

回复“通话音量调节功能出了些小故障，我无法帮你调整通话音量”

时间：2026.06.25 10：23
概率：3/3","director 未调用车控工具
20260708181731889A262A71D8D013EBF0 [图]",3,"顾安众-和光（2026-07-08）：在IS4PDU6001G07071验证未通过，视频和log已上传
---
Yin Zelu 尹泽陆（2026-07-08）：[~lsrakw] FC下发问题
[图]
---
Yu Zhaozhi 俞昭志（2026-07-08）：director 未调用车控工具
20260708181731889A262A71D8D013EBF0 [图]",http://jira.z-onesoftware.com:8080/browse/DNA-2309
DNA-2297,A,A,推理·该调工具未调(假成功),打开DVR文件 未下发fc,【IS4PR】【视觉感知】【DVR】语音输入：打开DVR文件 回复：很抱歉.......,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-24,2026-06-29,"步骤描述：唤醒语音，输入语料：打开DVR文件
期望结果：打开DVR文件 
实际结果：回复：很抱歉......
版本：IS4PDU5005G06201
问题发生时间：2026-06/24-19：14
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",[~pwhcoy] 20260624191513380D683B04A594369F6E 打开DVR文件 未下发fc [图],1,Yang Zhongyu 杨忠谕（2026-06-26）：[~pwhcoy] 20260624191513380D683B04A594369F6E 打开DVR文件 未下发fc [图],http://jira.z-onesoftware.com:8080/browse/DNA-2297
DNA-2296,A,A,推理·该调工具未调(假成功),看行车记录 未下发fc,【IS4PR】【视觉感知】【DVR】语音输入：我要看行车记录 回复：抱歉.......,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-24,2026-06-29,"步骤描述：唤醒语音，输入语料：我要看行车记录
期望结果：打开现场记录
实际结果：回复：抱歉......
版本：IS4PDU5005G06201
问题发生时间：2026-06/24-19：11
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",[~pwhcoy] 202606241912084234FF133CFA06056175 我要看行车记录  未下发fc,1,Yang Zhongyu 杨忠谕（2026-06-26）：[~pwhcoy] 202606241912084234FF133CFA06056175 我要看行车记录  未下发fc,http://jira.z-onesoftware.com:8080/browse/DNA-2296
DNA-2295,A,A,推理·该调工具未调(假成功),录像文件页面 未下发fc,【IS4PR】【视觉感知】【DVR】语音输入：录像文件页面 回复：实在不好意思......,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-24,2026-06-29,"步骤描述：唤醒语音，输入语料：录像文件页面
期望结果：打开录像文件页面
实际结果：回复：实在不好意思......
版本：IS4PDU5005G06201
问题发生时间：2026-06/24-19：09
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",[~pwhcoy]  20260624190957CB9358550E1A4799B5BF 录像文件页面未下发fc [图],1,Yang Zhongyu 杨忠谕（2026-06-26）：[~pwhcoy]  20260624190957CB9358550E1A4799B5BF 录像文件页面未下发fc [图],http://jira.z-onesoftware.com:8080/browse/DNA-2295
DNA-2294,A,A,推理·该调工具未调(假成功),打开录像文件页 未下发fc,【IS4PR】【视觉感知】【DVR】语音输入：打开录像文件页面 回复：实在不好意思......,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-24,2026-06-29,"步骤描述：唤醒语音，输入语料：打开录像文件页面
期望结果：打开录像文件页面
实际结果：回复：实在不好意思......
版本：IS4PDU5005G06201
问题发生时间：2026-06/24-19：05
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级","[~pwhcoy] 
20260624190519AFABB68EF32DE7AF15BB 打开录像文件页面未下发fc",1,"Yang Zhongyu 杨忠谕（2026-06-26）：[~pwhcoy] 
20260624190519AFABB68EF32DE7AF15BB 打开录像文件页面未下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-2294
DNA-2293,A,A,推理·该调工具未调(假成功),该关录音却回复'不关闭',【IS4PR】【视觉感知】【DVR】已打开录音开关，语音输入：关闭录音 回复：录音纪要不关闭,语音控制,必现,B,DRAFT,Zhao Zihao 赵子豪,2026-06-24,2026-06-29,"步骤描述：唤醒语音，输入语料：关闭录音
期望结果：关闭录音开关
实际结果：回复：录音纪要不关闭
版本：IS4PDU5005G06201
问题发生时间：2026-06/24-18：56
【再现率】 3/3
【外接外设】无
【Log等级】 默认开启5级",20260624185634018F37C32245A6B9EB54   有planner回复 “好的，录音纪要不关闭”   [~pwhcoy]  辛苦帮忙看看,1,Tian Gaolin 田高琳（2026-06-27）：20260624185634018F37C32245A6B9EB54   有planner回复 “好的，录音纪要不关闭”   [~pwhcoy]  辛苦帮忙看看,http://jira.z-onesoftware.com:8080/browse/DNA-2293
DNA-2281,A,A,推理·该调工具未调(假成功),音量二次确认 播报与数据不一致,【语音】【语音控制声音】当前音量18，语音控制调到80%，没有第二次确认调节提醒,—,必现,B,DRAFT,Xiao Hui 肖慧,2026-06-24,2026-07-12,"一、前提条件:
车机上电
语音激活状态

二、操作步骤
语音输入:“豆包豆包，多媒体音量调到80%“
三、期望结果;
有第二次确认
四、实际结果:
没有第二次确认
时间:2026.06.24 8: 23
概率:3/3",语音播报的二次确认信息和我给到的信息不一致，辛苦排查一下。 [图],1,Yin Zelu 尹泽陆（2026-07-12）：语音播报的二次确认信息和我给到的信息不一致，辛苦排查一下。 [图],http://jira.z-onesoftware.com:8080/browse/DNA-2281
DNA-2280,A,A,推理·该调工具未调(假成功),音量调低8格 播报与数据不一致,【语音】【语音控制声音】语音控制‘多媒体音量调低8格’无法执行,—,必现,B,ANALYZING,Xiao Hui 肖慧,2026-06-24,2026-07-12,"一、前提条件:
车机上电
语音激活状态

二、操作步骤
语音输入:“豆包豆包，多媒体音量调低8格“
三、期望结果;
语音TTS回复：“多媒体音量已调到最小
四、实际结果:
无法执行
时间:2026.06.24 8: 25
概率:3/3","[图]

播报和我返回的数据不一致。辛苦排查一下。",2,"Xiao Hui 肖慧（2026-07-08）：在6.0.1版本验证不通过，已上传相关视频
---
Yin Zelu 尹泽陆（2026-07-12）：[图]

播报和我返回的数据不一致。辛苦排查一下。",http://jira.z-onesoftware.com:8080/browse/DNA-2280
DNA-2232,A,A,推理·该调工具未调(假成功),副驾关蓝牙电话 未调用车控,【基础应用】【蓝牙电话】蓝牙电话在副驾说：关闭蓝牙电话不支持，后排可以,语音控制,必现,B,DRAFT,Zhang Hua 张华,2026-06-24,2026-07-08,"步骤描述：
副驾语音输入：关闭蓝牙电话
后排语音输入：关闭蓝牙电话
期望结果：统一一致
实际结果：副驾不行，后排可以
版本：IS4PDU5005G06201
问题发生时间：23/六月/24 11 :09 下午 视频时间1分04秒左右","[~pwhcoy] 泽民，这个没有调用车控工具
2026062411105797825BB0F83E91518CF9
!20260702-192410.jpg|width=614,height=215!",3,"Yang Zhongyu 杨忠谕（2026-07-02）：[~lsrakw] 昭志麻烦看看这个视频和图片，中间是没有下发fc的，导致测试同学在体验上是感觉副驾不可以主驾可以。
---
Yu Zhaozhi 俞昭志（2026-07-02）：202606241111063393EFBEC8DD824FCE69  执行成功 右后
[\{\""user_query\"":\""\"",\""sound_zone\"":\""右后\"",\""is_simple_vehicle_control\"":false,\""functions\"":[{\""function_code\"":\""指定应用开关\"",\""params\"":[{\""action\"":\""关闭\"",\""app\"":\""蓝牙电话\""}]}],\""vehicle_control_exec_status\"":[\{\""function_code\"":\""指定应用开关\"",\""msg\"":\""执行成功\"",\""tts_content\"":\""好啦，帮你把中控屏的蓝牙电话关闭咯～\"",\""capture_details\"":null}]}]

202606241111063393EFBEC8D
---
Yang Zhongyu 杨忠谕（2026-07-02）：[~pwhcoy] 泽民，这个没有调用车控工具
2026062411105797825BB0F83E91518CF9
!20260702-192410.jpg|width=614,height=215!",http://jira.z-onesoftware.com:8080/browse/DNA-2232
DNA-2217,A,A,推理·该调工具未调(假成功),未登录播放 未调用工具误报不支持,【语音】【语音控制多媒体】QQ音乐账号未登录中语音指令：”播放最近播放的歌曲“，TTS未回复请先登录账号,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-24,2026-07-02,"步骤描述：暂未登录QQ音乐，语音：”播放最近播放的歌曲“
期望结果：TTS回复请先登录账号
实际结果：TTS回复暂不支持此功能
版本：IS4PDU5005G06201
问题发生时间：0623 13：42","20260623134317B81BFABA93CBCCCFB068
director 未调用工具",1,"Tian Gaolin 田高琳（2026-07-02）：20260623134317B81BFABA93CBCCCFB068
director 未调用工具",http://jira.z-onesoftware.com:8080/browse/DNA-2217
DNA-2213,A,A,推理·该调工具未调(假成功),关闭歌词 未调用工具回复错,【语音】【语音控制多媒体】QQ音乐歌词展示界面，语音指令：”关闭歌词“无法关闭，TTS回复已经是关闭的状态了,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-24,2026-07-02,"步骤描述：已登录QQ音乐，暂无收藏的歌单，语音指令：”播放收藏的歌单“
期望结果：TTS回复暂无收藏的歌单
实际结果：TTS回复好的为你播放收藏的歌单
版本：IS4PDU5005G06201
问题发生时间：0623 13：36","2026062313361597A90C2AD9E07B32077B
director 未调用工具",1,"Tian Gaolin 田高琳（2026-07-02）：2026062313361597A90C2AD9E07B32077B
director 未调用工具",http://jira.z-onesoftware.com:8080/browse/DNA-2213
DNA-2202,A,A,推理·该调工具未调(假成功),退出蓝牙电话 未调用车控误报不允许,【基础应用】【语音控制蓝牙电话】语音输入：退出蓝牙电话，回复的是不允许退出,语音控制,必现,B,DRAFT,Zhang Hua 张华,2026-06-23,2026-07-08,"步骤描述：语音输入：退出蓝牙电话
期望结果：正常可以退出
实际结果：回复不允许退出
版本：IS4PDU5005G06201
问题发生时间：23/六月/23 13:31 下午",[~pwhcoy] 泽民辛苦看一下，没有调用车控工具的,2,"Yang Zhongyu 杨忠谕（2026-07-01）：2026062313314996725281094FDE0580B5 [~bcejgr] 麻烦看看这个问题没有下发fc呢
---
Zhang Dongnan 张东楠（2026-07-01）：[~pwhcoy] 泽民辛苦看一下，没有调用车控工具的",http://jira.z-onesoftware.com:8080/browse/DNA-2202
DNA-2187,A,A,推理·该调工具未调(假成功),切时间格式 跳转页却报'已切换',【基础应用】【显示设置】【5.0.5】语音”切换时间格式“，只能跳转到时间设置界面，但语音回复已经切换好了,语音控制,必现,B,Verifying,Li Yudian 李钰点,2026-06-23,2026-07-11,"【前提条件】
1.电源模式: RUN

【操作步骤】
1、唤醒豆包”切换时间格式“

【期望结果】
1、跳转到系统设置-显示界面

【实际结果】
1、跳转到系统设置-时间界面，但是语音播报已经切换好了，实际没有切换

【发生时间】2026年 6月23 17：13

【再现率】 3/3

【测试环境】台架
版本：IS4PDU5005G06201
MCU：IS4P500401",[~pwhcoy] 泽民看看这个问题返回的tts和播报的🈶出入容易误导用户 [图],3,"Yang Zhongyu 杨忠谕（2026-07-02）：端侧根据fc返回的tts错误，0703版本可复测。
---
Li Yudian 李钰点（2026-07-10）：版本：IS4PDU6001G07102
MCU：IS4P600103
环境：实车5258
验证结果：Fail
---
Yang Zhongyu 杨忠谕（2026-07-10）：[~pwhcoy] 泽民看看这个问题返回的tts和播报的🈶出入容易误导用户 [图]",http://jira.z-onesoftware.com:8080/browse/DNA-2187
DNA-2184,A,A,推理·该调工具未调(假成功),AM87.5报成FM87.5 调了两次,【语音】【语音控制多媒体】语音指令：”AM87.5“TTS回复为你切换到FM87.5，回复错误,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-23,2026-07-02,"步骤描述：本地电台页面，语音指令：”AM87.5“
期望结果：TTS回复无法调节AM只有FM电台
实际结果：切换到了FM87.5
版本：IS4PDU5005G06201
问题发生时间：0623 10：48","2026062310490881099B35C3C88DEAD2E2
调了两次",1,"Tian Gaolin 田高琳（2026-07-02）：2026062310490881099B35C3C88DEAD2E2
调了两次",http://jira.z-onesoftware.com:8080/browse/DNA-2184
DNA-2178,A,A,推理·该调工具未调(假成功),订阅节目 未调用工具报'无此功能',【语音】【语音控制多媒体】喜马拉雅当前电台已订阅，语音指令：”听一下我订阅的节目“TTS回复暂无此功能,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-23,2026-07-02,"步骤描述：喜马拉雅在前台，语音指令：”播放收藏的网络节目“
期望结果：播放喜马拉雅收藏的节目
实际结果：打开QQ音乐搜索网络节目
版本：IS4PDU5005G06201
问题发生时间：0623 9：35","20260623093814EECF5AC4B290FCF710A8
director 未调用工具",1,"Tian Gaolin 田高琳（2026-07-02）：20260623093814EECF5AC4B290FCF710A8
director 未调用工具",http://jira.z-onesoftware.com:8080/browse/DNA-2178
DNA-2177,A,A,推理·该调工具未调(假成功),取消扫描FM 未调用工具,【语音】【语音控制多媒体】”搜索FM电台“，搜索中再次说”取消“，TTS回复已取消扫描实际还在扫描中,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-23,2026-07-02,"步骤描述：喜马拉雅在前台，语音指令：”播放收藏的网络节目“
期望结果：播放喜马拉雅收藏的节目
实际结果：打开QQ音乐搜索网络节目
版本：IS4PDU5005G06201
问题发生时间：0623 9：35","20260623101454FE6864A1CA703A4F01D5
director 未调用工具",2,"Tian Gaolin 田高琳（2026-07-02）：20260623101454FE6864A1CA703A4F01D5
director 未调用工具
---
Tian Gaolin 田高琳（2026-07-02）：20260623101454FE6864A1CA703A4F01D5
director 未调用工具",http://jira.z-onesoftware.com:8080/browse/DNA-2177
